Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating
2025-05-05,21:00:00,CNR2335901990,Cancelled by Customer,706794,Auto,T Nagar,Triplicane,NULL,NULL,1,Change of plans,0,NULL,0,NULL,NULL,NULL,NULL,NULL
2025-05-17,22:00:00,CNR1851819913,Success,720859,eBike,Sholinganallur,Perambur,8.18,13.05,0,NULL,0,NULL,0,NULL,960.56,29.55,4.7,4
2025-05-19,06:00:00,CNR8136179811,Success,172306,Bike,Kelambakkam,Velachery,5.36,8.37,0,NULL,0,NULL,0,NULL,456.6300059,14.87,3.7,3.8
2025-05-23,06:00:00,CNR7371573279,Success,556732,Prime SUV,Thoraipakkam,Chetpet,8.81,12.8,0,NULL,0,NULL,0,NULL,670.7044074,15.01,4.4,4.1
2025-05-02,05:00:00,CNR2395925222,Success,611233,Prime Plus,Villivakkam,Porur,9.04,11.12,0,NULL,0,NULL,0,NULL,403.9,28.55,3.6,4.6
2025-05-21,20:00:00,CNR8352307139,Success,569945,Prime SUV,Anna Nagar,Egmore,5.24,5.16,0,NULL,0,NULL,0,NULL,321.389182,11.63,5,4.3
2025-05-16,00:00:00,CNR8313706299,Success,384076,Prime Sedan,Porur,Nungambakkam,3.54,3.55,0,NULL,0,NULL,0,NULL,174.059937,8.06,4.2,4.6
2025-05-23,09:00:00,CNR7858164010,Success,205409,Prime SUV,Mylapore,Tambaram,3.44,2.18,0,NULL,0,NULL,0,NULL,687.55,29.28,4.3,4.5
2025-05-06,09:00:00,CNR8528185058,Success,207570,Prime SUV,Adyar,Triplicane,5.83,6.43,0,NULL,0,NULL,0,NULL,875.5506682,5.19,3.6,4.2
2025-05-25,14:00:00,CNR1230249217,Success,256445,Prime SUV,Triplicane,T Nagar,3.99,9.25,0,NULL,0,NULL,0,NULL,347.367341,23.72,4.1,4.9
2025-05-13,16:00:00,CNR9547119184,Success,420214,Bike,Mogappair,Besant Nagar,7.92,14.32,0,NULL,0,NULL,0,NULL,328.57,20.49,3.7,3.8
2025-05-04,04:00:00,CNR1672302490,Success,528361,Mini,Pammal,Vepery,2.26,5.75,0,NULL,0,NULL,0,NULL,128.4719041,8.54,3.9,4.7
2025-05-26,03:00:00,CNR5010075517,Cancelled by Customer,545790,Auto,Mount Road,Nungambakkam,NULL,NULL,1,AC is not working (Only for 4-wheelers),0,NULL,0,NULL,NULL,NULL,NULL,NULL
2025-05-07,01:00:00,CNR1306702926,Cancelled by Driver,273982,Prime SUV,T Nagar,Vepery,NULL,NULL,0,NULL,1,The customer was coughing/sick,0,NULL,NULL,NULL,NULL,NULL
2025-05-19,17:00:00,CNR5829062179,Success,822131,Prime Sedan,Pammal,Mandaveli,6,8.42,0,NULL,0,NULL,0,NULL,188.49,14.1,4,3.9
2025-05-04,21:00:00,CNR8822944679,Success,704238,Auto,Siruseri,Madipakkam,7.21,13.91,0,NULL,0,NULL,0,NULL,395.01,19.77,4.2,3.6
2025-05-15,20:00:00,CNR7048809022,Success,436653,eBike,Guindy,Kotturpuram,7.55,5.75,0,NULL,0,NULL,0,NULL,595.0869481,14.74,4,4
2025-05-18,05:00:00,CNR9594878379,Success,668950,Mini,Ambattur,Besant Nagar,4.89,11.83,0,NULL,0,NULL,0,NULL,181.4232953,17.38,4.9,4.2
2025-05-30,19:00:00,CNR3081821325,Cancelled by Driver,130271,eBike,Vepery,Perambur,NULL,NULL,0,NULL,1,The customer was coughing/sick,0,NULL,NULL,NULL,NULL,NULL
2025-05-24,12:00:00,CNR9648665968,Success,527809,Auto,Nungambakkam,Kilpauk,2.94,12.82,0,NULL,0,NULL,0,NULL,303.548806,9.66,4.8,5
2025-05-11,09:00:00,CNR5916199809,Incomplete,299869,Bike,Parrys,Semmancheri,NULL,NULL,0,NULL,0,NULL,1,Customer Demand,NULL,NULL,NULL,NULL
2025-05-12,18:00:00,CNR8964640525,Cancelled by Driver,456385,Prime SUV,Parrys,Saidapet,NULL,NULL,0,NULL,1,The customer was coughing/sick,0,NULL,NULL,NULL,NULL,NULL
2025-05-13,17:00:00,CNR8129391249,Success,255813,Mini,Mount Road,Washermanpet,6.42,9.06,0,NULL,0,NULL,0,NULL,175.4609495,21.53,4.4,3.9
2025-05-18,12:00:00,CNR5482431018,Success,880879,Mini,Manapakkam,Royapettah,7.31,12.67,0,NULL,0,NULL,0,NULL,133.3176502,16.06,4.4,4.8
2025-05-19,18:00:00,CNR9205284543,Incomplete,116093,eBike,Korattur,Ambattur,NULL,NULL,0,NULL,0,NULL,1,Customer Demand,NULL,NULL,NULL,NULL
2025-05-04,04:00:00,CNR9457665185,Cancelled by Customer,455007,Bike,Pammal,Mandaveli,NULL,NULL,1,AC is not working (Only for 4-wheelers),0,NULL,0,NULL,NULL,NULL,NULL,NULL
2025-05-29,18:00:00,CNR8556573246,Success,667296,Auto,Mogappair,Chromepet,7.48,5.74,0,NULL,0,NULL,0,NULL,350.23,29.39,4.6,4.6
2025-05-05,06:00:00,CNR2905584866,Success,827712,Prime Sedan,Anna Nagar,Ashok Nagar,2.45,6.66,0,NULL,0,NULL,0,NULL,573.76,13.54,4.5,3.8
2025-05-08,11:00:00,CNR9929101065,Success,501126,Bike,Pallavaram,Perambur,6.67,5.02,0,NULL,0,NULL,0,NULL,366.7362869,27.17,4.2,3.9
2025-05-24,07:00:00,CNR1678500147,Cancelled by Customer,563187,Prime Sedan,Chetpet,T Nagar,NULL,NULL,1,Change of plans,0,NULL,0,NULL,NULL,NULL,NULL,NULL
2025-05-30,10:00:00,CNR6369130994,Cancelled by Driver,986365,Prime Sedan,Mylapore,Royapettah,NULL,NULL,0,NULL,1,Personal & Car related issues,0,NULL,NULL,NULL,NULL,NULL
2025-05-11,02:00:00,CNR8298348088,Success,123005,Prime SUV,Perungudi,Mandaveli,6.53,10.92,0,NULL,0,NULL,0,NULL,645.7658438,15.91,4.9,3.9
2025-05-10,19:00:00,CNR2513206988,Cancelled by Customer,767542,Prime Plus,Mogappair,Porur,NULL,NULL,1,Driver asked to cancel,0,NULL,0,NULL,NULL,NULL,NULL,NULL
2025-05-27,19:00:00,CNR5464285982,Success,926918,Mini,Ashok Nagar,Chetpet,3.05,13.83,0,NULL,0,NULL,0,NULL,459.39,7.62,4.7,4.8
2025-05-16,14:00:00,CNR9218363978,Success,970813,Prime Plus,Porur,Washermanpet,4.36,13.32,0,NULL,0,NULL,0,NULL,130.1197444,23.12,3.8,4.5
2025-05-29,18:00:00,CNR9503787171,Success,986827,Prime SUV,Broadway,Thiruvanmiyur,5.16,5.44,0,NULL,0,NULL,0,NULL,235.95,22.97,3.9,4.1
2025-05-28,05:00:00,CNR9333490239,Success,213609,eBike,Nungambakkam,Washermanpet,9.07,9.3,0,NULL,0,NULL,0,NULL,156.895337,25.07,4.9,4
2025-05-18,10:00:00,CNR1501119337,Success,147549,Auto,T Nagar,Choolaimedu,3.88,8.99,0,NULL,0,NULL,0,NULL,479.7523074,21.5,4.3,4.4
2025-05-07,14:00:00,CNR9097790557,Success,786735,Auto,Choolaimedu,Mogappair,9.61,2.43,0,NULL,0,NULL,0,NULL,480.2220679,25.95,3.6,4.5
2025-05-24,05:00:00,CNR8064477344,Success,163491,Mini,Saidapet,Mylapore,9.59,12.71,0,NULL,0,NULL,0,NULL,273.76,19.91,5,3.6
2025-05-15,05:00:00,CNR3424843951,Success,171942,Prime SUV,Siruseri,Broadway,3.73,13.31,0,NULL,0,NULL,0,NULL,461.42,27.21,3.5,4.8
2025-05-07,04:00:00,CNR5241397494,Cancelled by Customer,666456,Prime Sedan,Madipakkam,Kilpauk,NULL,NULL,1,Driver is not moving towards pickup location,0,NULL,0,NULL,NULL,NULL,NULL,NULL
2025-05-06,14:00:00,CNR5358791907,Success,928358,Prime SUV,Perambur,Chetpet,3.39,2.68,0,NULL,0,NULL,0,NULL,398.26611,15.33,4.7,4.3
2025-05-05,15:00:00,CNR3641863774,Success,862569,Prime SUV,Perungudi,Koyambedu,7.15,2.4,0,NULL,0,NULL,0,NULL,483.6462574,5.02,4.6,4.2
2025-05-04,10:00:00,CNR1637088959,Success,232321,Prime Sedan,Mogappair,Sholinganallur,7.7,6.95,0,NULL,0,NULL,0,NULL,302.2204298,14.05,4.7,3.7
2025-05-28,22:00:00,CNR6218484323,Cancelled by Driver,573489,Prime Plus,Ambattur,Velachery,NULL,NULL,0,NULL,1,More than permitted people in there,0,NULL,NULL,NULL,NULL,NULL
2025-05-18,17:00:00,CNR4133661881,Success,427730,Mini,Vadapalani,Perungudi,9.63,10.93,0,NULL,0,NULL,0,NULL,790.26,4.39,4.1,4.6
2025-05-16,21:00:00,CNR4486522557,Success,683397,Auto,Chetpet,Broadway,7.36,7.34,0,NULL,0,NULL,0,NULL,480.6431702,27.64,3.6,3.9
2025-05-14,07:00:00,CNR2510308881,Cancelled by Customer,705991,Bike,Nanganallur,Korattur,NULL,NULL,1,Driver asked to cancel,0,NULL,0,NULL,NULL,NULL,NULL,NULL
2025-05-05,14:00:00,CNR7684109313,Success,220465,Prime SUV,Saidapet,Triplicane,5.43,9.29,0,NULL,0,NULL,0,NULL,369.9906845,17.59,4.4,4.5
2025-05-30,14:00:00,CNR2148679234,Success,289179,Prime Sedan,Pammal,Siruseri,4.72,2.08,0,NULL,0,NULL,0,NULL,460.7059096,5.97,4.4,3.5
2025-05-23,15:00:00,CNR6218955985,Success,540226,Mini,Velachery,Kotturpuram,7.77,12.1,0,NULL,0,NULL,0,NULL,724.35,3.47,3.7,4.4
2025-05-29,18:00:00,CNR5645357285,Success,564637,eBike,Avadi,Choolaimedu,5.31,4.8,0,NULL,0,NULL,0,NULL,144.3559089,20.99,4.4,4.3
2025-05-14,03:00:00,CNR1195066088,Success,514463,Bike,Besant Nagar,Adyar,9.56,11.98,0,NULL,0,NULL,0,NULL,147.9937375,15.93,4.1,3.7
2025-05-23,17:00:00,CNR4022245086,Success,624563,Bike,Perungudi,Villivakkam,8.89,2.55,0,NULL,0,NULL,0,NULL,1103.47701,18.12,4.4,4.6
2025-05-18,19:00:00,CNR2243458354,Cancelled by Driver,524707,Auto,Vadapalani,Kotturpuram,NULL,NULL,0,NULL,1,More than permitted people in there,0,NULL,NULL,NULL,NULL,NULL
2025-05-30,10:00:00,CNR9245348297,Success,192410,Mini,Guindy,Perambur,5.2,3.02,0,NULL,0,NULL,0,NULL,299.414853,23.82,3.6,4.4
2025-05-23,15:00:00,CNR3190227431,Success,913934,Prime Sedan,Villivakkam,Thoraipakkam,7.16,3.92,0,NULL,0,NULL,0,NULL,213.08,6.86,3.7,4.6
2025-05-04,05:00:00,CNR7417183769,Success,891093,Bike,Siruseri,Chetpet,9.39,9.34,0,NULL,0,NULL,0,NULL,877.8221873,19.56,3.7,3.6
2025-05-19,20:00:00,CNR8006745733,Success,935012,Prime Sedan,Chetpet,Besant Nagar,2.59,8,0,NULL,0,NULL,0,NULL,141.37,10.04,4.5,5
2025-05-04,20:00:00,CNR7472806994,Incomplete,585188,Bike,Broadway,Semmancheri,NULL,NULL,0,NULL,0,NULL,1,Vehicle Breakdown,NULL,NULL,NULL,NULL
2025-05-25,09:00:00,CNR3799620568,Success,437145,Bike,Washermanpet,Parrys,2.49,3.35,0,NULL,0,NULL,0,NULL,742.8839943,16.13,3.8,3.9
2025-05-19,16:00:00,CNR9551219870,Success,649525,Bike,Mogappair,Kotturpuram,9.34,7.04,0,NULL,0,NULL,0,NULL,120.946207,19.66,4,4
2025-05-24,19:00:00,CNR8208584394,Success,397949,Prime Sedan,Thoraipakkam,Perungudi,6.82,3.95,0,NULL,0,NULL,0,NULL,260.03,27.67,4,4.5
2025-05-29,06:00:00,CNR2683446724,Success,723945,eBike,Egmore,T Nagar,7.15,6.27,0,NULL,0,NULL,0,NULL,1162.976037,29.92,4.9,3.6
2025-05-29,14:00:00,CNR2554039848,Success,480211,Prime Sedan,Madipakkam,Nanganallur,8.13,4.5,0,NULL,0,NULL,0,NULL,366.2128915,24.07,4.3,4.3
2025-05-23,11:00:00,CNR9752058817,Success,453123,Prime SUV,Mogappair,Kodambakkam,3.23,4.35,0,NULL,0,NULL,0,NULL,461.0623931,22.19,3.6,4
2025-05-11,03:00:00,CNR9459318641,Cancelled by Driver,740255,Prime Sedan,Siruseri,Semmancheri,NULL,NULL,0,NULL,1,Customer related issue,0,NULL,NULL,NULL,NULL,NULL
2025-05-23,18:00:00,CNR6322188162,Success,947903,Prime SUV,Washermanpet,Mylapore,9.58,14.8,0,NULL,0,NULL,0,NULL,252.7489737,16.77,4.9,4.7
2025-05-26,19:00:00,CNR2073755632,Success,772324,Mini,Thiruvanmiyur,Broadway,7.69,8.71,0,NULL,0,NULL,0,NULL,237.15,6.49,4.2,4.3
2025-05-19,15:00:00,CNR4910589015,Success,956375,Mini,Villivakkam,Anna Nagar,5.17,6.86,0,NULL,0,NULL,0,NULL,524.78,8.29,4,3.6
2025-05-28,17:00:00,CNR1627276995,Cancelled by Driver,140163,Prime Sedan,Washermanpet,Pammal,NULL,NULL,0,NULL,1,More than permitted people in there,0,NULL,NULL,NULL,NULL,NULL
2025-05-20,03:00:00,CNR3642900640,Cancelled by Driver,183074,Auto,Porur,Nanganallur,NULL,NULL,0,NULL,1,More than permitted people in there,0,NULL,NULL,NULL,NULL,NULL
2025-05-05,17:00:00,CNR8628603366,Success,349183,Prime Sedan,Kilpauk,Besant Nagar,7.11,10.1,0,NULL,0,NULL,0,NULL,849.8804556,17.01,4.4,4.4
2025-05-07,03:00:00,CNR6545970956,Success,101640,Bike,Villivakkam,Perambur,3.5,10.69,0,NULL,0,NULL,0,NULL,481.3614712,17.23,4.7,4.3
2025-05-01,20:00:00,CNR3019214800,Cancelled by Driver,766549,Mini,Thiruvanmiyur,Porur,NULL,NULL,0,NULL,1,The customer was coughing/sick,0,NULL,NULL,NULL,NULL,NULL
2025-05-03,21:00:00,CNR2480915452,Cancelled by Driver,868544,eBike,Sholinganallur,Guindy,NULL,NULL,0,NULL,1,The customer was coughing/sick,0,NULL,NULL,NULL,NULL,NULL
2025-05-06,16:00:00,CNR5485387618,Cancelled by Driver,672536,Prime Sedan,Kelambakkam,Madipakkam,NULL,NULL,0,NULL,1,More than permitted people in there,0,NULL,NULL,NULL,NULL,NULL
2025-05-30,16:00:00,CNR1579187439,Success,850827,Prime SUV,Aminjikarai,Ashok Nagar,2.35,4.59,0,NULL,0,NULL,0,NULL,860.7685125,29.7,4.3,3.9
2025-05-28,14:00:00,CNR6115750294,Success,474314,Prime SUV,Besant Nagar,Kelambakkam,3,6.78,0,NULL,0,NULL,0,NULL,905.1737455,12.83,5,4.2
2025-05-22,05:00:00,CNR9944748312,Success,545120,Auto,Avadi,Vepery,3.44,5.82,0,NULL,0,NULL,0,NULL,212.86,10.28,4.2,4.6
2025-05-08,02:00:00,CNR8257484586,Incomplete,468623,Mini,Ashok Nagar,Thoraipakkam,NULL,NULL,0,NULL,0,NULL,1,Vehicle Breakdown,NULL,NULL,NULL,NULL
2025-05-27,05:00:00,CNR9581991473,Cancelled by Customer,387892,eBike,Besant Nagar,Chromepet,NULL,NULL,1,Change of plans,0,NULL,0,NULL,NULL,NULL,NULL,NULL
2025-05-16,12:00:00,CNR1133747952,Success,989894,Bike,Pallavaram,Padi,2.54,12.12,0,NULL,0,NULL,0,NULL,326.8978567,18.94,4.5,4.9
2025-05-16,20:00:00,CNR9920154998,Success,244383,Bike,Thiruvanmiyur,Mandaveli,4.23,14.49,0,NULL,0,NULL,0,NULL,128.5,16.5,4.9,3.7
2025-05-12,02:00:00,CNR8318786687,Incomplete,324993,Bike,Tambaram,Pammal,NULL,NULL,0,NULL,0,NULL,1,Vehicle Breakdown,NULL,NULL,NULL,NULL
2025-05-09,12:00:00,CNR1526723719,Incomplete,994253,Auto,Padi,Madipakkam,NULL,NULL,0,NULL,0,NULL,1,Vehicle Breakdown,NULL,NULL,NULL,NULL
2025-05-04,17:00:00,CNR9532273208,Success,800280,Prime Sedan,Manapakkam,Chromepet,4.32,5.9,0,NULL,0,NULL,0,NULL,990.1534792,6.87,4,3.8
2025-05-09,13:00:00,CNR4401896171,Success,348235,Prime SUV,Choolaimedu,Anna Nagar,6.58,8.08,0,NULL,0,NULL,0,NULL,895.8218022,3.84,4.1,4.6
2025-05-21,10:00:00,CNR7552812957,Success,906527,Mini,Triplicane,Chromepet,4.54,2.96,0,NULL,0,NULL,0,NULL,151.3338443,25.21,4.3,4.4
2025-05-06,12:00:00,CNR5952163720,Success,272655,Prime Plus,Vadapalani,Manapakkam,9.58,8.75,0,NULL,0,NULL,0,NULL,412.45,7.5,4.9,3.9
2025-05-27,16:00:00,CNR3291270703,Success,626986,eBike,Kotturpuram,Chetpet,3.23,10.56,0,NULL,0,NULL,0,NULL,437.0120016,17.78,4.7,3.5
2025-05-02,22:00:00,CNR7752277876,Incomplete,748133,eBike,Anna Nagar,Choolaimedu,NULL,NULL,0,NULL,0,NULL,1,Other Issue,NULL,NULL,NULL,NULL
2025-05-13,08:00:00,CNR6592451645,Success,356773,Prime SUV,Pallavaram,Mandaveli,2.58,2.78,0,NULL,0,NULL,0,NULL,181.6092054,18.99,4,4.6
2025-05-15,17:00:00,CNR9484167278,Success,237118,Prime SUV,Thiruvanmiyur,Parrys,4.55,8.06,0,NULL,0,NULL,0,NULL,394.22,4.71,3.9,4.1
2025-05-27,06:00:00,CNR2795875043,Cancelled by Driver,267457,Prime SUV,Vadapalani,Triplicane,NULL,NULL,0,NULL,1,Customer related issue,0,NULL,NULL,NULL,NULL,NULL
2025-05-07,19:00:00,CNR7505693643,Success,622987,Prime Sedan,Choolaimedu,Anna Nagar,5.15,7.94,0,NULL,0,NULL,0,NULL,364.8,3.36,3.9,4.4
2025-05-28,21:00:00,CNR8183421297,Success,399628,Bike,Adyar,Guindy,9.06,11.46,0,NULL,0,NULL,0,NULL,260.2326484,17.97,3.8,4.3
2025-05-04,03:00:00,CNR7656585531,Success,965401,Bike,Pallavaram,Mogappair,9.8,7.12,0,NULL,0,NULL,0,NULL,945.0537103,23.14,3.8,4.3
2025-05-22,08:00:00,CNR1172893522,Cancelled by Driver,140804,Prime Plus,Manapakkam,Velachery,NULL,NULL,0,NULL,1,More than permitted people in there,0,NULL,NULL,NULL,NULL,NULL
2025-05-07,08:00:00,CNR3214080278,Success,443897,Bike,Vadapalani,Kotturpuram,6.93,12.95,0,NULL,0,NULL,0,NULL,303.8856403,15.72,4.3,4.2
2025-05-01,17:00:00,CNR6877052039,Success,806537,Auto,Ambattur,Chetpet,9.19,13.34,0,NULL,0,NULL,0,NULL,206.2121748,20.36,5,4.4
2025-05-10,17:00:00,CNR4098389895,Cancelled by Customer,711868,Mini,Kotturpuram,Koyambedu,NULL,NULL,1,Wrong Address,0,NULL,0,NULL,NULL,NULL,NULL,NULL
